id,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt
1144,2,1,5,23,0,4,1,1,0.6,0.5606,0.83,0,
1145,1,0,2,6,1,1,0,2,0.42,0.4242,0.26,0.2985,
1146,4,0,11,9,0,6,0,1,0.3,0.303,0.61,0.1642,
1147,2,0,6,17,0,4,1,1,0.9,0.8182,0.37,0.2537,
1148,3,0,7,3,0,4,1,1,0.72,0.6667,0.54,0,
1149,4,0,11,1,0,0,0,2,0.36,0.3485,0.66,0.194,
1150,2,0,5,19,0,0,0,1,0.72,0.697,0.74,0.2537,
1151,4,0,11,15,0,5,1,1,0.34,0.3333,0.29,0.1343,
1152,2,1,3,0,0,3,1,1,0.36,0.3333,0.4,0.2836,
1153,2,1,5,10,0,3,1,2,0.62,0.6061,0.65,0.2537,
1154,1,0,3,23,0,2,1,2,0.32,0.3182,0.87,0.1642,
1155,3,0,7,10,0,4,1,2,0.82,0.8636,0.71,0.2239,
1156,2,1,4,14,0,4,1,1,0.46,0.4545,0.33,0.1642,
1157,2,0,5,17,0,3,1,1,0.64,0.6212,0.47,0.1045,
1158,3,0,8,10,0,3,1,1,0.7,0.6364,0.45,0.1045,
1159,4,1,11,16,0,6,0,1,0.28,0.2424,0.38,0.4478,
1160,4,0,11,6,0,3,1,1,0.3,0.3333,0.87,0,
1161,4,0,9,21,0,4,1,1,0.58,0.5455,0.56,0,
1162,4,0,10,3,0,5,1,1,0.56,0.5303,0.94,0.1343,
1163,1,1,2,18,0,2,1,1,0.38,0.3939,0.4,0.4478,
1164,1,0,3,21,0,2,1,1,0.26,0.303,0.56,0,
1165,3,1,8,11,0,2,1,1,0.7,0.6515,0.54,0,
1166,1,1,12,6,0,4,1,1,0.24,0.197,0.7,0.4925,
1167,1,0,1,12,0,1,1,2,0.2,0.1818,0.4,0.2836,
1168,4,0,11,6,0,4,1,3,0.36,0.3485,0.57,0.2239,
1169,2,1,6,11,0,5,1,1,0.7,0.6364,0.42,0.2537,
1170,4,0,12,0,0,4,1,2,0.26,0.2273,0.87,0.2985,
1171,2,1,4,5,0,1,1,1,0.44,0.4394,0.24,0.194,
1172,1,0,3,15,0,0,0,1,0.48,0.4697,0.39,0.3284,
1173,3,1,9,4,0,3,1,1,0.5,0.4848,0.72,0.0896,
1174,3,0,6,12,0,1,1,2,0.72,0.6667,0.54,0,
1175,4,1,12,14,0,0,0,1,0.44,0.4394,0.62,0.2537,
1176,3,1,9,7,0,3,1,1,0.52,0.5,0.72,0,
1177,3,1,8,5,0,4,1,1,0.62,0.5909,0.73,0,
1178,2,1,6,18,0,2,1,1,0.6,0.6212,0.43,0.194,
1179,3,0,9,18,0,3,1,3,0.64,0.5758,0.83,0.1642,
1180,2,1,6,5,0,5,1,1,0.5,0.4848,0.72,0.1045,
1181,3,0,8,12,0,3,1,1,0.82,0.7273,0.38,0.2985,
1182,2,1,3,0,0,3,1,1,0.52,0.5,0.88,0,
1183,4,1,12,4,0,3,1,1,0.24,0.2424,0.75,0.1343,
1184,3,1,9,3,0,1,1,1,0.52,0.5,0.68,0.2836,
1185,3,1,8,19,0,1,1,1,0.74,0.6818,0.58,0.1642,
1186,4,0,9,7,0,6,0,2,0.56,0.5303,0.88,0.1045,
1187,2,1,5,20,0,2,1,3,0.7,0.6515,0.61,0.5224,
1188,4,0,11,23,0,2,1,1,0.36,0.3333,0.76,0.3881,
1189,2,0,4,16,0,0,0,2,0.52,0.5,0.72,0.1642,
1190,3,1,7,12,0,3,1,1,0.76,0.6667,0.33,0,
1191,4,0,12,11,0,2,1,3,0.46,0.4545,0.94,0.2537,
1192,1,1,12,12,0,1,1,2,0.24,0.2273,0.56,0.194,
1193,4,0,10,2,0,0,0,1,0.22,0.2121,0.87,0.2836,
1194,1,1,2,5,0,6,0,3,0.22,0.2273,0.93,0.1642,
1195,4,0,10,10,0,6,0,2,0.44,0.4394,0.62,0.1045,
1196,2,1,4,2,0,5,1,1,0.34,0.3333,0.49,0.194,
1197,1,0,12,19,0,3,1,2,0.5,0.4848,0.94,0.3284,
1198,4,0,12,8,0,5,1,1,0.24,0.2879,0.81,0,
1199,3,0,7,19,0,6,0,1,0.74,0.6515,0.33,0.2239,
1200,1,1,1,3,0,0,0,1,0.34,0.3333,0.42,0.1343,
1201,3,0,7,0,0,4,1,2,0.76,0.7424,0.75,0.194,
1202,3,0,8,4,0,3,1,2,0.76,0.697,0.52,0.1642,
1203,2,1,6,14,0,5,1,1,0.72,0.6515,0.39,0.194,
1204,2,0,4,19,0,1,1,1,0.72,0.6667,0.51,0.4478,
1205,4,0,9,1,0,4,1,2,0.6,0.5,1,0.194,
1206,4,0,10,23,0,3,1,1,0.5,0.4848,0.77,0.1045,
1207,3,0,8,17,0,3,1,1,0.84,0.7121,0.26,0.2985,
1208,4,0,10,10,0,4,1,3,0.56,0.5303,1,0.1343,
1209,1,1,12,21,0,5,1,2,0.24,0.2424,0.7,0.1343,
1210,2,0,4,2,0,1,1,1,0.38,0.3939,0.66,0.2537,
1211,3,1,8,19,0,0,0,1,0.74,0.6515,0.4,0.1343,
1212,2,0,6,18,0,4,1,1,0.74,0.6515,0.22,0.3881,
1213,3,1,9,2,0,0,0,1,0.54,0.5152,0.77,0.2836,
1214,3,1,7,16,0,5,1,2,0.8,0.7121,0.36,0.2239,
1215,1,0,2,12,0,1,1,2,0.32,0.3485,0.62,0,
1216,4,0,9,19,0,1,1,1,0.66,0.6061,0.82,0.0896,
1217,4,0,12,1,0,0,0,1,0.16,0.1515,0.59,0.2239,
1218,3,1,9,2,0,5,1,1,0.52,0.5,0.72,0,
1219,2,0,6,19,0,0,0,1,0.7,0.6667,0.74,0.1045,
1220,3,0,7,21,0,2,1,1,0.78,0.7424,0.62,0.2537,
1221,4,1,10,14,0,5,1,1,0.66,0.6212,0.61,0.2537,
1222,4,0,11,7,0,3,1,1,0.26,0.2727,0.81,0.1045,
1223,1,1,1,17,0,0,0,1,0.38,0.3939,0.4,0.2239,
1224,4,1,11,9,0,5,1,1,0.28,0.2879,0.75,0.1045,
1225,2,0,4,22,0,6,0,3,0.42,0.4242,1,0,
1226,3,0,7,11,0,1,1,1,0.82,0.7879,0.56,0.2985,
1227,1,0,2,18,0,1,1,1,0.4,0.4091,0.4,0.6119,
1228,1,1,1,16,0,3,1,2,0.34,0.3182,0.87,0.2537,
1229,1,1,1,7,0,2,1,3,0.3,0.2879,0.81,0.2239,
1230,3,0,9,18,0,0,0,1,0.76,0.7273,0.66,0.194,
1231,4,0,11,22,0,4,1,1,0.26,0.2424,0.52,0.2537,
1232,1,0,1,16,0,4,1,2,0.3,0.303,0.49,0.1343,
1233,4,0,12,12,0,0,0,1,0.36,0.3485,0.81,0.1642,
1234,1,0,2,9,0,0,0,2,0.24,0.2273,0.6,0.2239,
1235,3,0,9,8,0,0,0,1,0.46,0.4545,0.72,0.2537,
1236,2,1,5,22,0,0,0,1,0.56,0.5303,0.73,0.1642,
1237,3,1,8,22,0,0,0,1,0.7,0.6515,0.58,0.1343,
1238,1,1,1,10,0,2,1,2,0.32,0.3182,0.57,0.194,
1239,1,0,12,21,0,4,1,2,0.28,0.2879,0.61,0.1343,
1240,3,1,7,12,0,1,1,2,0.74,0.6818,0.58,0.1343,
1241,4,1,11,23,0,0,0,2,0.3,0.303,0.56,0.1642,
1242,1,1,2,23,0,5,1,2,0.3,0.3182,0.7,0.0896,
1243,2,1,3,12,0,6,0,3,0.52,0.5,0.94,0.2239,
1244,4,1,11,7,0,0,0,2,0.22,0.2424,0.51,0.1045,
1245,3,1,6,16,0,0,0,1,0.84,0.7273,0.3,0.2537,
1246,3,1,9,8,0,3,1,1,0.52,0.5,0.59,0.2239,
1247,4,1,12,5,0,0,0,2,0.26,0.303,0.93,0,
1248,4,1,9,17,0,6,0,1,0.6,0.6212,0.38,0.3582,
1249,2,0,4,23,0,0,0,3,0.54,0.5152,1,0.0896,
1250,2,0,4,1,0,5,1,1,0.36,0.3333,0.53,0.2537,
1251,3,0,7,6,0,2,1,1,0.68,0.6364,0.83,0.2239,
1252,1,1,3,10,0,2,1,1,0.24,0.2576,0.44,0,
1253,2,0,5,9,0,3,1,1,0.52,0.5,0.72,0.1343,
1254,2,0,4,15,0,5,1,3,0.34,0.3333,0.87,0.194,
1255,4,0,10,0,0,6,0,1,0.46,0.4545,0.55,0.1045,
1256,3,0,7,7,0,3,1,1,0.72,0.6667,0.48,0.2537,
1257,2,0,3,20,0,3,1,3,0.24,0.2121,0.93,0.2985,
1258,1,1,2,11,1,1,0,1,0.26,0.2273,0.48,0.3582,
1259,3,0,7,14,0,6,0,1,0.9,0.7879,0.29,0,
1260,2,0,6,1,0,1,1,1,0.6,0.5606,0.83,0.1343,
1261,3,1,9,3,0,0,0,1,0.66,0.5909,0.89,0.0896,
1262,3,0,8,11,0,4,1,1,0.76,0.6667,0.35,0.2537,
1263,4,1,11,11,0,4,1,2,0.34,0.3333,0.61,0.1343,
1264,1,0,2,9,1,1,0,2,0.32,0.303,0.57,0.2836,
1265,1,1,3,6,0,6,0,2,0.36,0.3636,0.93,0.0896,
1266,3,1,9,23,0,4,1,1,0.54,0.5152,0.68,0.1045,
1267,2,1,5,22,0,6,0,1,0.64,0.6212,0.47,0,
1268,1,1,2,13,0,4,1,2,0.42,0.4242,0.77,0,
1269,4,1,12,21,0,5,1,2,0.36,0.3636,0.93,0.1045,
1270,1,0,2,11,0,0,0,2,0.3,0.303,0.33,0.1642,
1271,1,1,2,3,0,5,1,1,0.26,0.2879,0.56,0.0896,
1272,2,0,4,7,0,1,1,1,0.46,0.4545,0.63,0,
1273,2,1,4,11,0,0,0,3,0.38,0.3939,0.87,0.2985,
1274,1,1,12,6,0,5,1,1,0.22,0.2121,0.64,0.2836,
1275,2,1,5,18,1,1,0,1,0.8,0.7727,0.59,0.2985,
1276,4,1,11,0,0,5,1,2,0.32,0.3333,0.66,0.1045,
1277,1,0,1,1,0,3,1,3,0.22,0.2273,0.93,0.1343,
1278,2,0,4,14,0,0,0,1,0.46,0.4545,0.31,0.1343,
1279,4,0,11,11,0,3,1,3,0.46,0.4545,0.94,0.0896,
1280,4,0,9,9,0,5,1,3,0.62,0.5152,1,0.1343,
1281,4,0,10,20,0,6,0,1,0.5,0.4848,0.48,0.1343,
1282,1,0,1,12,0,5,1,2,0.2,0.197,0.37,0.2537,
1283,4,0,12,12,0,4,1,1,0.36,0.3485,0.46,0.2239,
1284,4,1,10,1,0,2,1,1,0.44,0.4394,0.67,0.194,
1285,4,1,10,17,0,0,0,3,0.4,0.4091,0.82,0.2239,
1286,1,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,
1287,2,1,4,16,0,5,1,1,0.66,0.6212,0.44,0.194,
1288,4,1,9,6,0,1,1,1,0.46,0.4545,0.59,0,
1289,2,1,5,13,0,3,1,2,0.64,0.6212,0.53,0.2537,
1290,1,1,1,0,0,1,1,1,0.24,0.2273,0.6,0.2239,
1291,3,0,6,19,0,6,0,1,0.72,0.6667,0.48,0.2836,
1292,1,1,3,13,0,1,1,2,0.54,0.5152,0.32,0.2537,
1293,2,0,6,17,0,3,1,1,0.86,0.803,0.47,0.2985,
1294,2,0,4,7,0,6,0,2,0.3,0.303,0.93,0.1642,
1295,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,
1296,2,0,6,15,0,4,1,2,0.7,0.6515,0.61,0.2985,
1297,1,1,3,17,0,4,1,1,0.62,0.6212,0.38,0.6567,
1298,4,0,11,1,0,0,0,1,0.36,0.3788,0.81,0,
1299,2,1,5,6,0,0,0,1,0.52,0.5,0.68,0.1642,
1300,2,0,3,14,0,0,0,1,0.32,0.3182,0.36,0.1642,
1301,3,1,8,1,0,1,1,1,0.6,0.5606,0.83,0.1642,
1302,3,1,9,7,0,0,0,1,0.5,0.4848,0.77,0.1045,
1303,1,0,12,22,0,3,1,1,0.5,0.4848,0.88,0.2537,
1304,3,0,8,8,0,1,1,1,0.74,0.6818,0.58,0.3284,
1305,4,0,11,16,0,3,1,2,0.4,0.4091,0.62,0.4627,
1306,3,1,6,5,0,4,1,1,0.7,0.6667,0.84,0.1045,
1307,1,1,2,15,0,3,1,3,0.3,0.3182,0.61,0.1045,
1308,1,1,12,23,0,3,1,3,0.26,0.2273,0.87,0.2985,
1309,2,0,4,2,0,3,1,1,0.24,0.2424,0.7,0.1343,
1310,2,1,4,6,0,2,1,1,0.6,0.6212,0.46,0.2537,
1311,2,1,5,1,0,6,0,1,0.64,0.5758,0.83,0.1343,
1312,1,1,2,16,0,0,0,1,0.3,0.2879,0.56,0.2239,
1313,3,1,8,17,0,0,0,1,0.8,0.697,0.33,0,
1314,3,1,8,3,0,4,1,1,0.68,0.6364,0.83,0.0896,
1315,4,0,11,1,1,4,0,1,0.32,0.2879,0.57,0.4179,
1316,4,1,10,3,1,1,0,1,0.34,0.3485,0.81,0.1045,
1317,4,0,11,17,0,2,1,1,0.44,0.4394,0.54,0.1642,
1318,3,1,6,12,0,5,1,2,0.92,0.8788,0.4,0.2537,
1319,3,0,9,4,0,0,0,1,0.44,0.4394,0.77,0.2239,
1320,2,1,5,13,0,3,1,1,0.72,0.6515,0.42,0,
1321,2,1,6,9,0,6,0,1,0.64,0.6212,0.57,0.1642,
1322,2,0,5,21,0,6,0,1,0.62,0.6061,0.61,0.1045,
1323,4,0,10,18,0,3,1,1,0.6,0.6212,0.53,0.1642,
1324,3,0,9,8,0,0,0,1,0.66,0.6061,0.78,0.1642,
1325,1,1,2,7,0,6,0,1,0.24,0.2879,0.7,0,
1326,4,1,10,19,0,4,1,2,0.56,0.5303,0.68,0.2985,
1327,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,
1328,3,0,8,7,0,2,1,1,0.64,0.6061,0.69,0.2537,
1329,2,1,6,15,0,5,1,1,0.72,0.6515,0.39,0.194,
1330,3,0,7,23,0,2,1,3,0.72,0.697,0.79,0.1642,
1331,4,0,12,10,0,4,1,2,0.4,0.4091,0.58,0.2985,
1332,2,1,6,23,0,5,1,1,0.62,0.6212,0.53,0.2537,
1333,3,1,7,9,0,0,0,1,0.86,0.8182,0.5,0.1045,
1334,2,1,6,1,0,2,1,2,0.6,0.5758,0.78,0.1642,
1335,2,0,5,15,0,6,0,1,0.74,0.6818,0.55,0.2239,
1336,4,1,10,10,0,0,0,1,0.5,0.4848,0.48,0.2985,
1337,2,0,4,21,0,3,1,1,0.66,0.6212,0.36,0.2836,
1338,3,1,8,0,0,0,0,1,0.66,0.6212,0.57,0.0896,
1339,4,1,11,21,0,3,1,2,0.32,0.303,0.49,0.2985,
1340,4,1,10,18,0,0,0,3,0.4,0.4091,0.82,0.194,
1341,3,1,7,14,0,5,1,1,0.9,0.803,0.31,0.1642,
1342,4,1,12,22,0,4,1,3,0.34,0.3333,0.87,0.194,
1343,4,1,12,16,0,5,1,1,0.36,0.3485,0.76,0.1343,
1344,1,0,1,23,0,6,0,1,0.16,0.197,0.8,0.0896,
1345,3,1,7,1,0,2,1,1,0.74,0.697,0.7,0,
1346,1,1,3,7,0,4,1,1,0.44,0.4394,0.72,0.0896,
1347,2,0,4,4,0,1,1,1,0.4,0.4091,0.87,0.1642,
1348,3,1,8,15,0,5,1,1,0.86,0.2424,0.3,0.4627,
1349,2,1,6,5,0,4,1,1,0.48,0.4697,0.82,0.0896,
1350,1,1,3,16,0,1,1,1,0.3,0.2727,0.45,0.2985,
1351,2,1,4,8,0,5,1,1,0.44,0.4394,0.94,0,
1352,2,1,5,11,0,4,1,1,0.58,0.5455,0.49,0.2239,
1353,1,1,1,14,0,0,0,1,0.4,0.4091,0.4,0.194,
1354,4,1,11,16,0,1,1,1,0.36,0.3333,0.43,0.2836,
1355,4,0,10,4,0,3,1,3,0.5,0.4848,0.94,0.194,
1356,2,1,3,13,0,6,0,1,0.54,0.5152,0.6,0.1343,
1357,4,0,12,13,0,0,0,1,0.3,0.3333,0.31,0,
1358,2,1,6,12,0,1,1,2,0.8,0.7273,0.43,0.194,
1359,4,0,10,11,0,2,1,1,0.52,0.5,0.48,0.2836,
1360,1,1,12,7,0,6,0,1,0.26,0.2273,0.44,0.4179,
1361,2,0,4,4,0,4,1,2,0.62,0.5758,0.83,0.4179,
1362,3,0,8,13,0,5,1,1,0.78,0.6818,0.29,0.0896,
1363,2,0,5,14,0,0,0,1,0.74,0.697,0.7,0.2836,
1364,2,0,5,16,0,1,1,1,0.66,0.6212,0.61,0.2239,
1365,1,1,2,22,0,0,0,3,0.24,0.2576,0.75,0.0896,
1366,2,1,6,15,0,1,1,1,0.66,0.6212,0.39,0.2985,
1367,4,1,12,3,0,1,1,2,0.36,0.3788,0.93,0,
1368,3,1,8,22,0,1,1,2,0.6,0.5606,0.83,0,
1369,4,0,11,1,0,4,1,1,0.34,0.3333,0.81,0.1343,
1370,2,1,6,4,0,1,1,1,0.64,0.5909,0.78,0.1343,
1371,2,0,3,10,0,1,1,1,0.24,0.2273,0.3,0.194,
1372,1,0,12,7,0,6,0,3,0.38,0.3939,0.76,0,
1373,1,0,3,20,0,5,1,2,0.3,0.2879,0.7,0.194,
1374,3,1,7,3,0,2,1,1,0.72,0.6818,0.66,0,
1375,2,1,4,3,0,4,1,2,0.48,0.4697,0.55,0.0896,
1376,4,0,10,6,0,3,1,2,0.54,0.5152,0.88,0.2537,
1377,3,0,6,16,0,4,1,2,0.74,0.6818,0.62,0.2985,
1378,3,0,7,23,0,5,1,2,0.66,0.6061,0.78,0.0896,
1379,4,1,10,22,0,3,1,1,0.66,0.6212,0.74,0,
1380,3,0,8,11,0,1,1,1,0.88,0.7727,0.32,0.1642,
1381,4,1,10,20,0,3,1,2,0.4,0.4091,0.5,0.194,
1382,3,0,6,23,0,0,0,1,0.7,0.6515,0.54,0.0896,
1383,2,1,5,17,0,4,1,1,0.74,0.6818,0.55,0.2836,
1384,2,0,4,10,0,4,1,1,0.5,0.4848,0.51,0.194,
1385,3,1,7,3,0,5,1,2,0.66,0.5909,0.89,0.1045,
1386,1,0,3,17,0,1,1,1,0.34,0.303,0.29,0.3582,
1387,3,0,9,3,0,0,0,1,0.64,0.5758,0.89,0.194,
1388,2,0,3,18,0,1,1,1,0.32,0.303,0.21,0.2836,
1389,3,1,7,5,0,6,0,1,0.68,0.6364,0.79,0.1642,
1390,3,0,7,14,0,0,0,1,0.86,0.8182,0.5,0.2836,
1391,2,0,6,12,0,3,1,1,0.88,0.8182,0.42,0.1343,
1392,2,1,4,23,0,5,1,1,0.4,0.4091,0.4,0.2537,
1393,1,1,2,18,0,5,1,1,0.4,0.4091,0.35,0.2537,
1394,4,0,11,7,0,2,1,1,0.3,0.3182,0.87,0.1045,
1395,2,0,5,16,0,3,1,1,0.5,0.4848,0.45,0.4627,
1396,3,0,7,19,0,5,1,1,0.78,0.6667,0.25,0.194,
1397,2,1,4,13,0,4,1,2,0.5,0.4848,0.82,0.1642,
1398,2,0,3,11,0,2,1,2,0.34,0.303,0.25,0.3881,
1399,3,0,9,7,0,3,1,2,0.54,0.5152,1,0.194,
1400,1,1,2,8,0,0,0,2,0.24,0.2424,0.75,0.1642,
1401,1,1,2,14,0,4,1,1,0.54,0.5152,0.37,0.2537,
1402,1,1,2,21,0,6,0,1,0.14,0.0758,0.43,0.6418,
1403,3,0,7,15,0,5,1,1,0.82,0.697,0.21,0.2537,
1404,4,1,10,15,0,1,1,2,0.62,0.6212,0.43,0.1343,
1405,3,0,8,16,0,2,1,1,0.9,0.7727,0.25,0.2836,
1406,1,1,1,8,0,2,1,3,0.3,0.2879,0.81,0.2836,
1407,3,1,7,8,0,4,1,1,0.68,0.6364,0.65,0.1343,
1408,4,0,10,6,0,3,1,1,0.42,0.4242,0.71,0.2239,
1409,2,1,4,14,0,5,1,1,0.46,0.4545,0.33,0.3284,
1410,3,1,8,3,0,4,1,1,0.62,0.5758,0.83,0.0896,
1411,3,0,9,5,0,2,1,3,0.54,0.5152,0.88,0.3582,
1412,1,1,2,11,0,6,0,1,0.3,0.2576,0.39,0.6119,
1413,4,1,12,15,0,3,1,1,0.42,0.4242,0.5,0.2836,
1414,2,1,5,3,0,6,0,1,0.48,0.4697,0.59,0,
1415,2,1,5,18,0,4,1,1,0.74,0.6515,0.3,0.194,
1416,1,1,1,2,0,6,0,1,0.26,0.303,0.6,0,
1417,3,1,8,21,0,4,1,2,0.7,0.6515,0.58,0.1642,
1418,2,1,4,1,0,6,0,1,0.36,0.3333,0.5,0.2985,
1419,4,0,9,16,0,6,0,2,0.64,0.5909,0.78,0.0896,
1420,4,0,12,9,0,6,0,2,0.26,0.2424,0.56,0.2537,
1421,2,0,6,10,0,6,0,1,0.74,0.6818,0.58,0.1642,
1422,1,0,2,13,0,2,1,2,0.2,0.2576,0.86,0,
1423,4,0,12,1,0,2,1,1,0.36,0.3788,0.53,0,
1424,1,0,2,9,0,6,0,1,0.4,0.4091,0.16,0.6567,
1425,4,1,10,14,0,4,1,1,0.6,0.5909,0.73,0.1343,
1426,2,0,4,0,0,4,1,1,0.56,0.5303,0.43,0.3582,
1427,3,0,9,2,0,4,1,1,0.58,0.5455,0.78,0.0896,
1428,3,1,7,9,0,6,0,2,0.58,0.5455,0.83,0.194,
1429,3,1,7,9,0,2,1,1,0.74,0.697,0.66,0.1343,
1430,3,0,8,14,0,1,1,1,0.74,0.6515,0.3,0.3881,
1431,4,1,11,1,0,2,1,3,0.44,0.4394,0.88,0.6418,
1432,1,0,2,23,0,0,0,2,0.36,0.3485,0.62,0.1642,
1433,3,0,9,19,0,4,1,2,0.64,0.5758,0.89,0.0896,
1434,3,1,8,14,0,5,1,1,0.9,0.7727,0.25,0.2239,
1435,4,0,12,22,0,6,0,2,0.32,0.3333,0.61,0.0896,
1436,2,0,5,16,0,2,1,1,0.9,0.8333,0.39,0.1343,
1437,3,0,7,19,0,1,1,1,0.84,0.8333,0.59,0.3284,
1438,2,1,6,23,0,1,1,1,0.58,0.5455,0.49,0.2985,
1439,2,0,6,6,0,5,1,1,0.66,0.6061,0.78,0.0896,
1440,4,1,10,14,0,2,1,2,0.54,0.5152,0.64,0.194,
1441,1,1,3,2,0,5,1,3,0.48,0.4697,0.77,0.4179,
1442,4,1,11,12,0,5,1,2,0.38,0.3939,0.46,0,
1443,4,1,11,10,0,4,1,2,0.32,0.3333,0.66,0.1343,
1444,3,1,8,9,0,2,1,2,0.7,0.6667,0.74,0,
1445,4,1,12,0,0,1,1,3,0.36,0.3636,1,0.0896,
1446,3,1,9,3,0,2,1,1,0.48,0.4697,0.67,0.1343,
1447,1,1,2,17,1,1,0,1,0.38,0.3939,0.27,0.2537,
1448,3,0,6,18,0,3,1,1,0.8,0.697,0.29,0.2985,
1449,3,0,9,18,0,5,1,1,0.7,0.6667,0.79,0.194,
1450,3,0,7,19,0,0,0,1,0.8,0.7576,0.55,0.3284,
1451,2,1,6,21,0,0,0,1,0.62,0.6212,0.43,0.1642,
1452,1,0,12,22,0,5,1,1,0.32,0.3182,0.66,0.194,
1453,2,0,4,14,0,2,1,1,0.72,0.6667,0.58,0.3284,
1454,1,0,2,5,0,6,0,1,0.12,0.1667,0.74,0.0896,
1455,1,0,2,21,0,0,0,1,0.26,0.303,0.6,0,
1456,2,0,4,13,0,5,1,1,0.56,0.5303,0.37,0.2985,
1457,1,0,1,21,0,3,1,1,0.16,0.1364,0.55,0.3284,
1458,3,0,9,17,0,3,1,1,0.76,0.697,0.52,0.2836,
1459,3,1,8,5,0,5,1,1,0.64,0.5909,0.78,0,
1460,2,0,5,0,0,6,0,1,0.42,0.4242,0.82,0.1343,
1461,4,1,11,5,0,5,1,1,0.24,0.2879,0.81,0,
1462,2,0,4,20,0,6,0,2,0.54,0.5152,0.88,0.2537,
1463,2,1,4,2,0,5,1,1,0.36,0.3333,0.5,0.3881,
1464,2,0,6,2,0,0,0,1,0.68,0.6364,0.74,0.0896,
1465,1,0,2,6,0,5,1,1,0.1,0.1818,0.68,0,
1466,2,1,6,7,0,6,0,1,0.54,0.5152,0.68,0.194,
1467,1,1,2,15,0,3,1,1,0.42,0.4242,0.41,0.2239,
1468,1,1,2,2,0,0,0,2,0.3,0.2879,0.36,0.2836,
1469,4,1,11,8,0,4,1,2,0.3,0.2879,0.61,0.2239,
1470,3,1,9,23,0,0,0,1,0.54,0.5152,0.68,0.1045,
1471,3,0,8,18,0,3,1,1,0.76,0.697,0.55,0.2537,
1472,1,1,2,23,0,1,1,1,0.28,0.3182,0.41,0,
1473,4,0,10,17,0,3,1,2,0.52,0.5,0.77,0.1045,
1474,1,1,12,2,0,1,1,1,0.2,0.2576,0.75,0,
1475,4,1,11,20,0,6,0,1,0.44,0.4394,0.54,0,
1476,3,1,7,19,0,2,1,1,0.76,0.7121,0.62,0.1642,
1477,4,0,12,21,0,2,1,2,0.44,0.4394,1,0.194,
1478,2,1,6,21,0,4,1,1,0.64,0.6061,0.65,0.1642,
1479,4,0,12,0,0,6,0,1,0.3,0.2879,0.49,0.2836,
1480,2,0,5,10,0,0,0,2,0.48,0.4697,0.63,0.194,
1481,2,1,4,23,0,5,1,1,0.42,0.4242,0.3,0.2836,
1482,2,1,4,0,0,5,1,1,0.4,0.4091,0.43,0,
1483,2,1,6,12,0,1,1,3,0.56,0.5303,0.78,0.1343,
1484,1,1,1,23,0,0,0,1,0.16,0.197,0.43,0.0896,
1485,2,1,5,7,0,3,1,3,0.6,0.5758,0.78,0.194,
1486,2,0,5,0,0,1,1,2,0.56,0.5303,0.88,0.1343,
1487,4,1,12,19,0,1,1,2,0.42,0.4242,0.88,0.1343,
1488,2,0,5,21,0,0,0,1,0.68,0.6364,0.83,0.1642,
1489,4,1,11,14,0,6,0,2,0.36,0.3333,0.5,0.3284,
1490,4,0,10,2,1,1,0,1,0.48,0.4697,0.88,0,
1491,1,0,2,4,0,5,1,1,0.46,0.4545,0.67,0.2537,
1492,3,0,8,2,0,6,0,1,0.68,0.6364,0.57,0,
1493,2,0,6,9,0,3,1,1,0.76,0.7121,0.58,0.1642,
1494,4,1,10,0,0,5,1,2,0.54,0.5152,0.77,0,
1495,3,0,8,1,0,1,1,2,0.6,0.5455,0.88,0.1343,
1496,2,0,5,7,0,6,0,1,0.6,0.5606,0.83,0.2537,
1497,1,1,1,1,0,3,1,2,0.46,0.4545,0.77,0.3284,
1498,1,1,2,11,0,4,1,1,0.48,0.4697,0.48,0.2836,
1499,1,1,2,18,0,1,1,1,0.34,0.3182,0.25,0.2537,
1500,1,1,2,1,0,3,1,1,0.32,0.3333,0.49,0.1045,
1501,4,0,12,16,0,3,1,3,0.42,0.4242,0.94,0.194,
1502,2,0,4,3,0,4,1,1,0.36,0.3485,0.66,0.194,
1503,4,0,10,22,0,3,1,1,0.52,0.5,0.72,0,
1504,3,1,7,1,0,2,1,1,0.7,0.6667,0.74,0.1343,
1505,2,0,5,9,0,1,1,1,0.6,0.5455,0.88,0.2239,
1506,3,0,9,9,0,4,1,2,0.62,0.5152,1,0.2537,
1507,4,1,10,3,0,0,0,1,0.38,0.3939,0.66,0.0896,
1508,3,1,8,22,0,5,1,1,0.76,0.7273,0.7,0.2537,
1509,3,1,7,15,0,2,1,1,0.92,0.8182,0.31,0.1642,
1510,4,0,10,0,0,3,1,2,0.52,0.5,0.77,0.194,
1511,3,1,8,20,0,0,0,1,0.64,0.5758,0.89,0.1642,
1512,4,0,10,2,0,1,1,1,0.24,0.2879,0.87,0,
1513,3,1,6,0,0,5,1,2,0.76,0.7273,0.7,0.1045,
1514,4,0,10,7,0,2,1,1,0.46,0.4545,0.88,0.0896,
1515,1,0,1,7,0,5,1,2,0.16,0.197,0.86,0.0896,
1516,2,1,3,23,0,5,1,1,0.36,0.3788,0.71,0,
1517,2,1,6,9,0,2,1,2,0.64,0.5758,0.89,0.2836,
